Regions Code,Passports held,Highest level of qualification,Observation
E12000007,15,3,3231
E12000007,15,4,27784
E12000007,15,5,1502
E12000007,16,0,13
E12000007,16,1,6
E12000007,16,2,8
E12000007,16,3,9
E12000007,16,4,36
E12000007,16,5,7
E12000007,17,0,130786
E12000007,17,1,35888
E12000007,17,2,29645
E12000007,17,3,23243
E12000007,17,4,40731
E12000007,17,5,25598
E12000008,1,0,753116
E12000008,1,1,586884
E12000008,1,2,893262
E12000008,1,3,1108163
E12000008,1,4,2259015
E12000008,1,5,434975
E12000008,2,0,7749
E12000008,2,1,2610
E12000008,2,2,4502
E12000008,2,3,8482
E12000008,2,4,24958
E12000008,2,5,3743
E12000008,3,0,68042
E12000008,3,1,31392
E12000008,3,2,32680
E12000008,3,3,53517
E12000008,3,4,178033
E12000008,3,5,49975
E12000008,4,0,3422
E12000008,4,1,1177
E12000008,4,2,1161
E12000008,4,3,1847
E12000008,4,4,9931
E12000008,4,5,1990
E12000008,5,0,686
E12000008,5,1,328
E12000008,5,2,253
E12000008,5,3,290
E12000008,5,4,2739
E12000008,5,5,487
E12000008,6,0,1883
E12000008,6,1,1194
E12000008,6,2,1441
E12000008,6,3,1868
E12000008,6,4,11057
E12000008,6,5,1114
E12000008,7,0,1921
E12000008,7,1,2017
E12000008,7,2,2825
E12000008,7,3,4915
E12000008,7,4,11640
E12000008,7,5,1524
E12000008,8,0,747
E12000008,8,1,261
E12000008,8,2,261
E12000008,8,3,358
E12000008,8,4,3287
E12000008,8,5,455
E12000008,9,0,1878
E12000008,9,1,630
E12000008,9,2,563
E12000008,9,3,1139
E12000008,9,4,11518
E12000008,9,5,1230
E12000008,10,0,17970
E12000008,10,1,7306
E12000008,10,2,4391
E12000008,10,3,4993
E12000008,10,4,42975
E12000008,10,5,6509
E12000008,11,0,2893
E12000008,11,1,1319
E12000008,11,2,1104
E12000008,11,3,1351
E12000008,11,4,10306
E12000008,11,5,1392
E12000008,12,0,44
E12000008,12,1,15
E12000008,12,2,22
E12000008,12,3,55
E12000008,12,4,363
E12000008,12,5,24
E12000008,13,0,1368
E12000008,13,1,580
E12000008,13,2,1070
E12000008,13,3,1830
E12000008,13,4,14215
E12000008,13,5,1197
E12000008,14,0,2429
E12000008,14,1,1399
E12000008,14,2,1113
E12000008,14,3,1584
E12000008,14,4,7564
E12000008,14,5,1638
E12000008,15,0,803
E12000008,15,1,473
E12000008,15,2,831
E12000008,15,3,2057
E12000008,15,4,7222
E12000008,15,5,884
E12000008,16,0,9
E12000008,16,1,4
E12000008,16,2,12
E12000008,16,3,10
E12000008,16,4,14
E12000008,16,5,1
E12000008,17,0,254733
E12000008,17,1,92544
E12000008,17,2,83545
E12000008,17,3,64251
E12000008,17,4,73094
E12000008,17,5,67919
E12000009,1,0,452045
E12000009,1,1,356456
E12000009,1,2,561002
E12000009,1,3,734073
E12000009,1,4,1344496
E12000009,1,5,297882
E12000009,2,0,2780
E12000009,2,1,1050
E12000009,2,2,1693
E12000009,2,3,3277
E12000009,2,4,9314
E12000009,2,5,1413
E12000009,3,0,30991
E12000009,3,1,14798
E12000009,3,2,15507
E12000009,3,3,25207
E12000009,3,4,76902
E12000009,3,5,24455
E12000009,4,0,1323
E12000009,4,1,437
E12000009,4,2,444
E12000009,4,3,726
E12000009,4,4,3198
E12000009,4,5,753
E12000009,5,0,282
E12000009,5,1,150
E12000009,5,2,110
E12000009,5,3,117
E12000009,5,4,1054
E12000009,5,5,201
E12000009,6,0,481
E12000009,6,1,314
E12000009,6,2,348
E12000009,6,3,424
E12000009,6,4,2984
E12000009,6,5,310
E12000009,7,0,637
E12000009,7,1,630
E12000009,7,2,866
E12000009,7,3,1544
E12000009,7,4,3367
E12000009,7,5,630
E12000009,8,0,332
E12000009,8,1,140
E12000009,8,2,102
E12000009,8,3,167
E12000009,8,4,1264
E12000009,8,5,189
E12000009,9,0,934
E12000009,9,1,278
E12000009,9,2,256
E12000009,9,3,610
E12000009,9,4,4161
E12000009,9,5,500
E12000009,10,0,3195
E12000009,10,1,1969
E12000009,10,2,1275
E12000009,10,3,1462
E12000009,10,4,11389
E12000009,10,5,1857
E12000009,11,0,1411
E12000009,11,1,641
E12000009,11,2,587
E12000009,11,3,830
E12000009,11,4,4609
E12000009,11,5,711
E12000009,12,0,10
E12000009,12,1,6
E12000009,12,2,9
E12000009,12,3,18
E12000009,12,4,152
E12000009,12,5,15
E12000009,13,0,644
E12000009,13,1,300
E12000009,13,2,520
E12000009,13,3,926
E12000009,13,4,6092
E12000009,13,5,646
E12000009,14,0,1294
E12000009,14,1,682
E12000009,14,2,584
E12000009,14,3,803
E12000009,14,4,3448
E12000009,14,5,926
E12000009,15,0,443
E12000009,15,1,348
E12000009,15,2,442
E12000009,15,3,1027
E12000009,15,4,2883
E12000009,15,5,496
E12000009,16,0,6
E12000009,16,1,4
E12000009,16,2,2
E12000009,16,3,3
E12000009,16,4,8
E12000009,16,5,6
E12000009,17,0,216531
E12000009,17,1,82104
E12000009,17,2,83444
E12000009,17,3,65638
E12000009,17,4,73638
E12000009,17,5,65603
W92000004,1,0,317262
W92000004,1,1,172238
W92000004,1,2,302601
W92000004,1,3,368414
W92000004,1,4,699509
W92000004,1,5,155404
W92000004,2,0,1448
W92000004,2,1,371
W92000004,2,2,737
W92000004,2,3,1400
W92000004,2,4,4210
W92000004,2,5,677
W92000004,3,0,12082
W92000004,3,1,3387
W92000004,3,2,4677
W92000004,3,3,7625
W92000004,3,4,21942
W92000004,3,5,9887
W92000004,4,0,640
W92000004,4,1,83
W92000004,4,2,126
W92000004,4,3,196
W92000004,4,4,1018
W92000004,4,5,302
W92000004,5,0,250
W92000004,5,1,79
W92000004,5,2,60
W92000004,5,3,73
W92000004,5,4,859
W92000004,5,5,152
W92000004,6,0,183
W92000004,6,1,110
W92000004,6,2,150
W92000004,6,3,164
W92000004,6,4,1646
W92000004,6,5,142
W92000004,7,0,209
W92000004,7,1,124
W92000004,7,2,238
W92000004,7,3,502
W92000004,7,4,1048
W92000004,7,5,185
W92000004,8,0,432
W92000004,8,1,86
W92000004,8,2,90
W92000004,8,3,132
W92000004,8,4,1234
W92000004,8,5,260
W92000004,9,0,745
W92000004,9,1,96
W92000004,9,2,138
W92000004,9,3,214
W92000004,9,4,1579
W92000004,9,5,281
W92000004,10,0,1628
W92000004,10,1,541
W92000004,10,2,549
W92000004,10,3,655
W92000004,10,4,5121
W92000004,10,5,786
W92000004,11,0,598
W92000004,11,1,206
W92000004,11,2,231
W92000004,11,3,310
W92000004,11,4,1479
W92000004,11,5,295
W92000004,12,0,5
W92000004,12,1,2
W92000004,12,2,1
W92000004,12,3,6
W92000004,12,4,42
W92000004,12,5,8
W92000004,13,0,205
W92000004,13,1,76
W92000004,13,2,193
W92000004,13,3,303
W92000004,13,4,1903
W92000004,13,5,267
W92000004,14,0,177
W92000004,14,1,68
W92000004,14,2,101
W92000004,14,3,132
W92000004,14,4,752
W92000004,14,5,142
W92000004,15,0,123
W92000004,15,1,55
W92000004,15,2,94
W92000004,15,3,230
W92000004,15,4,713
W92000004,15,5,151
W92000004,16,0,1
W92000004,16,1,0
W92000004,16,2,0
W92000004,16,3,1
W92000004,16,4,6
W92000004,16,5,2
W92000004,17,0,157823
W92000004,17,1,43340
W92000004,17,2,53807
W92000004,17,3,40568
W92000004,17,4,54780
W92000004,17,5,38130
