,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,299
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",334
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,9,9. Elementary occupations,741
E12000002,North West,5,Africa: North Africa,-8,Does not apply,-8,Does not apply,0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,5,Africa: North Africa,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,-8,Does not apply,426
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",7
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,2,2. Professional occupations,24
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,6
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,4
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,5,5. Skilled trades occupations,6
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",9
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,6
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",24
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,9,9. Elementary occupations,14
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,-8,Does not apply,4673
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",148
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,2,2. Professional occupations,841
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,142
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,80
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,130
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",124
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,140
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",178
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,9,9. Elementary occupations,312
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,-8,Does not apply,0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,-8,Does not apply,673
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",12
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,2,2. Professional occupations,39
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,22
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,13
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,5,5. Skilled trades occupations,10
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",128
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,21
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",11
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,9,9. Elementary occupations,64
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,-8,Does not apply,7953
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",376
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,2,2. Professional occupations,2162
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,633
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,385
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,266
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",3131
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,603
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",404
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,9,9. Elementary occupations,2105
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,-8,Does not apply,0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,-8,Does not apply,442
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",7
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,2,2. Professional occupations,57
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,40
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,25
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,5,5. Skilled trades occupations,12
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",66
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,24
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",15
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,9,9. Elementary occupations,35
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,-8,Does not apply,3062
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",375
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,2,2. Professional occupations,1144
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,495
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,376
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,188
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",1062
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,297
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",236
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,9,9. Elementary occupations,493
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,-8,Does not apply,0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,-8,Does not apply,808
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",12
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,2,2. Professional occupations,21
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,11
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,17
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,5,5. Skilled trades occupations,9
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",7
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,15
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",8
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,9,9. Elementary occupations,13
E12000002,North West,8,Middle East and Asia: Middle East,2,Not disabled under the Equality Act,-8,Does not apply,7859
E12000002,North West,8,Middle East and Asia: Middle East,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",221
E12000002,North West,8,Middle East and Asia: Middle East,2,Not disabled under the Equality Act,2,2. Professional occupations,583
